channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
accel_z,130,0.9,2050.0,-47.73964309692383,-57.06425094604492,9.324607849121094,False,8,attempt 1/3
accel_z,130,0.9,150.0,-45.12105941772461,-56.7313346862793,11.610275268554688,True,8,attempt 2/3
accel_z,130,0.9,450.0,-48.938232421875,-57.698577880859375,8.760345458984375,False,8,attempt 3/3
accel_z,140,0.9,550.0,-50.88575744628906,-58.2197380065918,7.333980560302734,False,8,attempt 1/3
accel_z,140,0.9,750.0,-48.1021842956543,-57.89991760253906,9.797733306884766,False,8,attempt 2/3
accel_z,140,0.9,550.0,-47.30590057373047,-58.08919906616211,10.78329849243164,False,8,attempt 3/3
accel_z,150,0.9,250.0,-49.24243927001953,-57.842525482177734,8.600086212158203,True,8,ADR-035 upper scope limit; attempt 1/3
accel_z,150,0.9,1450.0,-48.188167572021484,-57.358150482177734,9.16998291015625,False,8,ADR-035 upper scope limit; attempt 2/3
accel_z,150,0.9,250.0,-46.25123596191406,-57.41515350341797,11.163917541503906,True,8,ADR-035 upper scope limit; attempt 3/3
accel_z,175,0.9,1250.0,-48.068115234375,-57.66368103027344,9.595565795898438,False,8,"beyond ADR-035 scope, exploratory; attempt 1/3"
accel_z,175,0.9,650.0,-46.683021545410156,-57.05770492553711,10.374683380126953,False,8,"beyond ADR-035 scope, exploratory; attempt 2/3"
accel_z,175,0.9,150.0,-46.852081298828125,-57.62348556518555,10.771404266357422,True,8,"beyond ADR-035 scope, exploratory; attempt 3/3"
accel_z,200,0.9,250.0,-46.95122146606445,-57.881107330322266,10.929885864257812,True,8,"beyond ADR-035 scope, exploratory; attempt 1/3"
accel_z,200,0.9,350.0,-47.11772918701172,-57.5648193359375,10.447090148925781,False,8,"beyond ADR-035 scope, exploratory; attempt 2/3"
accel_z,200,0.9,950.0,-50.117095947265625,-58.08052444458008,7.963428497314453,False,8,"beyond ADR-035 scope, exploratory; attempt 3/3"
accel_z,250,0.9,450.0,-46.365047454833984,-57.6207275390625,11.255680084228516,False,8,"beyond ADR-035 scope, exploratory; attempt 1/3"
accel_z,250,0.9,450.0,-47.160804748535156,-57.458274841308594,10.297470092773438,False,8,"beyond ADR-035 scope, exploratory; attempt 2/3"
accel_z,250,0.9,150.0,-45.292354583740234,-58.183074951171875,12.89072036743164,True,8,"beyond ADR-035 scope, exploratory; attempt 3/3"
