channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
mic,5850.0,1.0,5843.75,-51.139793395996094,-65.83428955078125,14.694496154785156,True,,ceiling coarse; attempt 1/3
mic,5850.0,1.0,5843.75,-51.70838165283203,-71.67018127441406,19.96179962158203,True,,ceiling coarse; attempt 2/3
mic,5850.0,1.0,5843.75,-51.27466583251953,-65.15618896484375,13.881523132324219,True,,ceiling coarse; attempt 3/3
mic,6100.0,1.0,6093.75,-65.91371154785156,-103.69566345214844,37.781951904296875,True,,ceiling coarse; attempt 1/3
mic,6100.0,1.0,6093.75,-65.80693054199219,-83.49166107177734,17.684730529785156,True,,ceiling coarse; attempt 2/3
mic,6100.0,1.0,6093.75,-64.90692138671875,-74.24076843261719,9.333847045898438,True,,ceiling coarse; attempt 3/3
mic,6350.0,1.0,6343.75,-53.3418083190918,-74.5674057006836,21.225597381591797,True,,ceiling coarse; attempt 1/3
mic,6350.0,1.0,6343.75,-53.09007263183594,-82.34119415283203,29.251121520996094,True,,ceiling coarse; attempt 2/3
mic,6350.0,1.0,6343.75,-53.142555236816406,-103.87772369384766,50.73516845703125,True,,ceiling coarse; attempt 3/3
mic,6600.0,1.0,6593.75,-49.06156539916992,-77.47306823730469,28.411502838134766,True,,ceiling coarse; attempt 1/3
mic,6600.0,1.0,6593.75,-49.26691436767578,-71.12313079833984,21.856216430664062,True,,ceiling coarse; attempt 2/3
mic,6600.0,1.0,6593.75,-49.030147552490234,-82.28475952148438,33.25461196899414,True,,ceiling coarse; attempt 3/3
mic,6850.0,1.0,6843.75,-46.461490631103516,-77.26103210449219,30.799541473388672,True,,ceiling coarse; attempt 1/3
mic,6850.0,1.0,6843.75,-46.24363327026367,-56.92802047729492,10.68438720703125,True,,ceiling coarse; attempt 2/3
mic,6850.0,1.0,6843.75,-46.791831970214844,-71.21588134765625,24.424049377441406,True,,ceiling coarse; attempt 3/3
mic,7100.0,1.0,7093.75,-49.761924743652344,-75.98075103759766,26.218826293945312,True,,ceiling coarse; attempt 1/3
mic,7100.0,1.0,7093.75,-49.8838996887207,-102.97260284423828,53.08870315551758,True,,ceiling coarse; attempt 2/3
mic,7100.0,1.0,7093.75,-49.99410629272461,-66.95147705078125,16.95737075805664,True,,ceiling coarse; attempt 3/3
mic,7350.0,1.0,7343.75,-64.5916748046875,-72.61066436767578,8.018989562988281,True,,ceiling coarse; attempt 1/3
mic,7350.0,1.0,7343.75,-63.02424621582031,-69.17469787597656,6.15045166015625,True,,ceiling coarse; attempt 2/3
mic,7350.0,1.0,7343.75,-63.60862350463867,-71.87458801269531,8.26596450805664,True,,ceiling coarse; attempt 3/3
mic,7600.0,1.0,7593.75,-64.75578308105469,-91.93083190917969,27.175048828125,True,,ceiling coarse; attempt 1/3
mic,7600.0,1.0,7593.75,-65.48534393310547,-77.58917999267578,12.103836059570312,True,,ceiling coarse; attempt 2/3
mic,7600.0,1.0,7593.75,-64.76242065429688,-74.1777114868164,9.415290832519531,True,,ceiling coarse; attempt 3/3
mic,7850.0,1.0,7843.75,-62.385955810546875,-77.50066375732422,15.114707946777344,True,,ceiling coarse; attempt 1/3
mic,7850.0,1.0,7843.75,-61.27202606201172,-79.23028564453125,17.95825958251953,True,,ceiling coarse; attempt 2/3
mic,7850.0,1.0,7843.75,-61.667144775390625,-65.56425476074219,3.8971099853515625,False,,ceiling coarse; attempt 3/3
